
+-------------------------+--------+-----------------------+-----------+-------------+----------------------+---------------------------+---------------------+--------------------+--------------------+
|           Name          | Ticker | % of total global cap |  Current  | 7.7T (Gold) | 36.8T (Narrow Money) | 73T (World Stock Markets) | 90.4T (Broad Money) | 217T (Real Estate) | 544T (Derivatives) |
|      Metaverse ETP      |  ETP   |         0.04%         |   $1.65   |    $37.27   |       $174.26        |          $353.37          |       $437.60       |     $1,050.42      |     $2,633.32      |
|           IOST          |  IOST  |         0.04%         |   $0.01   |    $0.13    |        $0.63         |           $1.27           |        $1.58        |       $3.79        |       $9.49        |
|          Verge          |  XVG   |         0.03%         |   $0.01   |    $0.16    |        $0.76         |           $1.54           |        $1.91        |       $4.58        |       $11.48       |
|         GXChain         |  GXC   |         0.03%         |   $1.78   |    $25.61   |       $119.75        |          $242.83          |       $300.71       |      $721.83       |     $1,809.57      |
|         EDUCare         |  EKT   |         0.03%         |   $0.12   |    $2.51    |        $11.75        |           $23.82          |        $29.49       |       $70.80       |      $177.48       |
|        Aeternity        |   AE   |         0.03%         |   $0.38   |    $7.82    |        $36.54        |           $74.10          |        $91.77       |      $220.28       |      $552.22       |
|          Mixin          |  XIN   |         0.03%         |  $228.67  |  $2,476.22  |      $11,577.14      |         $23,475.86        |      $29,071.48     |     $69,784.41     |    $174,943.41     |
|          THETA          | THETA  |         0.03%         |   $0.12   |    $2.44    |        $11.40        |           $23.11          |        $28.62       |       $68.69       |      $172.20       |
|       Waltonchain       |  WTC   |         0.03%         |   $2.41   |    $34.62   |       $161.84        |          $328.18          |       $406.41       |      $975.56       |     $2,445.65      |
|      Nash Exchange      |  NEX   |         0.03%         |   $2.66   |    $40.83   |       $190.90        |          $387.11          |       $479.38       |     $1,150.71      |     $2,884.74      |
|          Steem          | STEEM  |         0.03%         |   $0.29   |    $6.57    |        $30.70        |           $62.25          |        $77.09       |      $185.04       |      $463.88       |
|           XMax          |  XMX   |         0.03%         |   $0.01   |    $0.07    |        $0.34         |           $0.68           |        $0.84        |       $2.02        |       $5.08        |
|        VestChain        |  VEST  |         0.03%         |   $0.01   |    $0.24    |        $1.13         |           $2.29           |        $2.84        |       $6.81        |       $17.07       |
|        Crypto.com       |  MCO   |         0.03%         |   $5.63   |    $67.19   |       $314.14        |          $637.01          |       $788.84       |     $1,893.57      |     $4,747.02      |
